Institution;Nom;Naam;Catégorie;Categorie;Langue;Taal;Type de tarification;Soort tarifering;Type d'accueil;Soort opvang;Statut;Status;Adresse;Adres;Code postal;Commune;Gemeente;Lien web;Weblink;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_modified
Kind&Gezin;Baby Louise;Baby Louise;Crèche ou accueillant.e néerlandophone non-subventionnée;Niet-gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification libre;vrije prijs;Accueil en groupe;Groepsopvang;non-subventionné;Niet-gesubsidieerd;Avenue Louise 119;Louizalaan 119;1050;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.360183854367613;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83029314526629%2C4.360183854367613;50.8302931453, 4.3601838544;"{""coordinates"": [4.3601838544, 50.8302931453], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Mères et Femmes;Mères et Femmes;Crèche ou accueillant.e néerlandophone non-subventionnée;Niet-gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification libre;vrije prijs;Accueil en groupe;Groepsopvang;non-subventionné;Niet-gesubsidieerd;Rue Edmond Tollenaere 94;Edmond Tollenaerestraat 94;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.339965951966275;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87632058601192%2C4.339965951966275;50.876320586, 4.339965952;"{""coordinates"": [4.339965952, 50.876320586], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Rire et Grandir/Groeien en Lachen;Rire et Grandir/Groeien en Lachen;Crèche ou accueillant.e néerlandophone non-subventionnée;Niet-gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification libre;vrije prijs;Accueil en groupe;Groepsopvang;non-subventionné;Niet-gesubsidieerd;Avenue du Port 86;Havenlaan 86;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.348662800000487;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86480190000223%2C4.348662800000487;50.8648019, 4.3486628;"{""coordinates"": [4.3486628, 50.8648019], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;;;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil familial;Gezinsopvang;subventionné;Gesubsidieerd;Rue Bruyn 235;Bruynstraat 235;1120;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.389556292428201;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.90925563567459%2C4.389556292428201;50.9092556357, 4.3895562924;"{""coordinates"": [4.3895562924, 50.9092556357], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
ONE;SNOOPY;SNOOPY;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;site de l hopital militaire, rue bruyn 1;site de l hopital militaire, rue bruyn 1;1120;Bruxelles;Brussel;https://www.cdsca-ocasc.be/fr/creches;https://www.cdsca-ocasc.be/fr/creches;googlemaps0%2C4.390303300000491;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.90718350000211%2C4.390303300000491;50.9071835, 4.3903033;"{""coordinates"": [4.3903033, 50.9071835], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;rue stevens delannoy;rue stevens delannoy;1020;Bruxelles;Brussel;https://my.one.be/milieu-accueil/8943;https://my.one.be/milieu-accueil/8943;googlemaps0%2C4.341507100000491;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88837210000217%2C4.341507100000491;50.8883721, 4.3415071;"{""coordinates"": [4.3415071, 50.8883721], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Emile Jacquemain;Emile Jacquemain;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue veronaˆse 19A;rue veronaˆse 19A;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.387394000000488;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8463620000023%2C4.387394000000488;50.846362, 4.387394;"{""coordinates"": [4.387394, 50.846362], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Andree Geulen;Andree Geulen;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue sainte therese 7;rue sainte therese 7;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.343945200000489;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8366261000023%2C4.343945200000489;50.8366261, 4.3439452;"{""coordinates"": [4.3439452, 50.8366261], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Felix Sterckx;Felix Sterckx;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue felix sterckx 18;felix sterckxstraat 18;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.339438572214127;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88924560428316%2C4.339438572214127;50.8892456043, 4.3394385722;"{""coordinates"": [4.3394385722, 50.8892456043], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Princesse Josephine Charlotte;Princesse Josephine Charlotte;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue des charpentiers 2;timmerliedenstraat 2;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.346871171123332;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.835759825538624%2C4.346871171123332;50.8357598255, 4.3468711711;"{""coordinates"": [4.3468711711, 50.8357598255], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
