gid;gml_id;Type (code);Type;Type;Statut (code);Statut;Status;Largeur;Commune;Gemeente;Coordonnées géographiques;Geo Shape;begin_date;end_date;last_check_or_update
1453;ac.fid--5822db6_19cbcb82e55_-2ce0;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;1.57;Bruxelles;Brussel;50.892150608902014, 4.3581959682562506;"{""coordinates"": [[[4.358152346698887, 50.89224736956311], [4.35816890616053, 50.89221797186231], [4.35818534719345, 50.89218388977345], [4.358214947592239, 50.89210657193534], [4.35823029907618, 50.89205011745164]]], ""type"": ""MultiLineString""}";2009-04-01T02:00:00+02:00;;2024-10-10T02:00:00+02:00
456;ac.fid--5822db6_19cbcb82e55_-2cdd;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;1.85;Bruxelles;Brussel;50.807701168917255, 4.384541110288203;"{""coordinates"": [[[4.383254884978027, 50.80936439534649], [4.383258038975861, 50.80936132158753], [4.383304500468463, 50.809316042036166], [4.383506136825007, 50.80909408979743], [4.383587826577985, 50.80900181827558], [4.383610675656645, 50.808977177720905], [4.383661774881214, 50.808913085831755], [4.383735127138213, 50.80881960457647], [4.383771981099714, 50.80877004418394], [4.383956647291221, 50.80855352755038], [4.384010096386709, 50.80848455258583], [4.384095713671564, 50.8083763058501], [4.384128554937523, 50.80833558370856], [4.384223813054441, 50.80820605256318], [4.384275121744415, 50.80813928493946], [4.384352251573263, 50.80803715233656], [4.384420235709595, 50.807945655709254], [4.384444037006658, 50.807916351900786], [4.384588062579119, 50.807708949188495], [4.384667732742284, 50.80759406999878], [4.384717481198954, 50.80751766979384], [4.38484548942414, 50.80733348362232], [4.384866616597732, 50.80729976468431], [4.38491108536171, 50.8072318792546], [4.384950133675709, 50.80716937658584], [4.384996118340981, 50.807099220118765], [4.385039760746167, 50.80702863635995], [4.385141598572746, 50.8068656826183], [4.385173967770539, 50.806810122639575], [4.38525130698794, 50.80667357261858], [4.385323422075866, 50.80655691327433], [4.385375740782242, 50.80647393978312], [4.38543285785437, 50.80638265767556], [4.38549326839232, 50.80628291142483], [4.38556576534456, 50.806165558385786], [4.385641282226969, 50.806049419978294], [4.385675500373474, 50.80598858502835], [4.38568110886632, 50.80593858199462]]], ""type"": ""MultiLineString""}";2019-01-01T01:00:00+01:00;;2024-10-28T01:00:00+01:00
4401;ac.fid--5822db6_19cbcb82e55_-2cd9;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;1.157;Bruxelles;Brussel;50.84565162618953, 4.349280207194587;"{""coordinates"": [[[4.349016555870814, 50.84537121488565], [4.349321935318765, 50.84569620624553], [4.349544094858484, 50.84593181503018]]], ""type"": ""MultiLineString""}";2009-04-01T02:00:00+02:00;;2024-10-01T02:00:00+02:00
363;ac.fid--5822db6_19cbcb82e55_-2c8d;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;1.034;Bruxelles;Brussel;50.843228023864704, 4.353630709190295;"{""coordinates"": [[[4.355344682119566, 50.84399035880255], [4.355188275145172, 50.843932625333636], [4.355033428272125, 50.84387666452916], [4.354943022064538, 50.84383952300708], [4.354885491725945, 50.843813780868246], [4.354854947289349, 50.843798791959756], [4.354775033877145, 50.843756991152254], [4.354550926737343, 50.84364547257744], [4.354320641381365, 50.84353297224783], [4.354061300194505, 50.84340718593306], [4.353409181769155, 50.84310344583182], [4.353317127930984, 50.84306200742049], [4.35317462534526, 50.84299595516879], [4.353018127724845, 50.842929484147334], [4.352843636393203, 50.842857305381784], [4.352696966143877, 50.842799121510275], [4.352461397578331, 50.842710545086966], [4.352340633581882, 50.84266999870519], [4.35206561953805, 50.84257766230934], [4.351892884996806, 50.8425239179229]]], ""type"": ""MultiLineString""}";2016-01-01T01:00:00+01:00;;2024-09-30T02:00:00+02:00
886;ac.fid--5822db6_19cbcb82e55_-2c60;3;Couloir ou rue bus + vélo;Fietsbusstrook;1;Existant;Bestaand;2.7;Bruxelles;Brussel;50.85393494379254, 4.363096225785456;"{""coordinates"": [[[4.365386794199697, 50.85328884455005], [4.365373262721345, 50.85329289777469], [4.365361531796527, 50.853296416651155], [4.365354390761873, 50.853298491100965], [4.365346861126811, 50.853300619727044], [4.365338196437039, 50.85330320113955], [4.365330232593201, 50.85330547959731], [4.365319107156284, 50.853308593897076], [4.365310257920977, 50.853311115762736], [4.365299119489555, 50.85331424767512], [4.365286782781019, 50.85331781254101], [4.365276848770399, 50.853320648773476], [4.365266784480518, 50.853323546739496], [4.365256820535859, 50.853326423914986], [4.365243883900392, 50.85333015554672], [4.365218506720769, 50.8533373547878], [4.365204994595285, 50.8533412831763], [4.365189725854925, 50.85334565755633], [4.365175857652774, 50.85334960240059], [4.365116816910623, 50.853366511558335], [4.365092458119428, 50.85337344687578], [4.365044869686162, 50.853387152787775], [4.364950308187548, 50.85341423620259], [4.364896389463704, 50.85342965538415], [4.364865164857859, 50.853438628422424], [4.364829383284231, 50.8534487923828], [4.36480601612825, 50.85345541827748], [4.364783136816741, 50.853462053245146], [4.364759461673395, 50.85346884692567], [4.364733878036528, 50.853476112209854], [4.364708179835281, 50.853483505007034], [4.364687085423435, 50.85348952212515], [4.364663682418709, 50.85349622344989], [4.364639987563143, 50.85350294317758], [4.364610338558588, 50.853511481149454], [4.364546393188583, 50.85352976736395], [4.364515407984276, 50.853538642810875], [4.364468703144531, 50.85355205393209], [4.364443145917593, 50.853559301850545], [4.364415852450334, 50.85356716576978], [4.364354094224182, 50.85358482910622], [4.364308058879267, 50.85359798325599], [4.364275687463977, 50.853607291180595], [4.36425426156339, 50.85361349343392], [4.364233289284257, 50.8536194735109], [4.364212746871424, 50.853625323884685], [4.364197364363442, 50.85362974964657], [4.364179281547095, 50.85363496800136], [4.3641600310767, 50.85364052774962], [4.364149548010406, 50.85364353984913], [4.364134786210939, 50.853647730686646], [4.364122961742467, 50.853651205455826], [4.364101674384377, 50.853657339384135], [4.364081839645843, 50.853663022230435], [4.364047939634691, 50.853672716073916], [4.364030900376888, 50.853677480304356], [4.364017664689839, 50.85368130445337], [4.364000677567872, 50.85368616732868], [4.363954455864174, 50.85369939679058], [4.363937648782584, 50.853704244233015], [4.363917499993307, 50.85371002960399], [4.363905936731059, 50.853713321924054], [4.363888813447352, 50.853718209339924], [4.36387052631839, 50.85372350051385], [4.363853941405835, 50.85372826444224], [4.363838646019457, 50.8537326861967], [4.363824772527513, 50.85373663502317], [4.363807879972311, 50.85374148234588], [4.363797546323956, 50.853744463012404], [4.363778908556902, 50.85374983733186], [4.363757346106218, 50.85375599905097], [4.363744088637019, 50.85375980023531], [4.363718442141051, 50.85376712911867], [4.363694665783715, 50.85377397755909], [4.363671001026378, 50.85378072460822], [4.363646704752505, 50.85378769906031], [4.363623748982746, 50.85379424057425], [4.363605579412456, 50.853799395215795], [4.363580226909331, 50.853806653651866], [4.363556686602224, 50.85381330140211], [4.363535455656564, 50.853819415424354], [4.363514782585579, 50.85382522087339], [4.363453483740756, 50.853842855068], [4.363408143865445, 50.85385579739706], [4.363369042735215, 50.85386694970241], [4.363332337413325, 50.853877488018824], [4.363321837327704, 50.85388041566224], [4.363310356278828, 50.85388366996065], [4.363254164281432, 50.85389827541599], [4.361105389665967, 50.854486073038494], [4.360971914410103, 50.85451135953019], [4.360878447463365, 50.854526473984436], [4.360796286703504, 50.85454301014582]]], ""type"": ""MultiLineString""}";2013-07-01T02:00:00+02:00;;2024-09-19T02:00:00+02:00
339;ac.fid--5822db6_19cbcb82e55_-2c4d;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;0.817;Bruxelles;Brussel;50.852788503032606, 4.357707797543726;"{""coordinates"": [[[4.357268523264737, 50.85233923490871], [4.357820493757232, 50.852903304266476], [4.358146454500893, 50.85323837346465]]], ""type"": ""MultiLineString""}";2009-06-01T02:00:00+02:00;;2024-09-17T02:00:00+02:00
1096;ac.fid--5822db6_19cbcb82e55_-2c4c;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;1.25;Bruxelles;Brussel;50.844580474965746, 4.37366741592608;"{""coordinates"": [[[4.373725471251388, 50.84456780120893], [4.37371612496142, 50.84456976153821], [4.373626640317936, 50.844589479657735], [4.373609324574676, 50.84459297647617]]], ""type"": ""MultiLineString""}";2009-06-01T02:00:00+02:00;;2024-09-30T02:00:00+02:00
770;ac.fid--5822db6_19cbcb82e55_-2c0c;5;Bande cyclable suggérée;Fietssugestiestrook;1;Existant;Bestaand;1.77;Bruxelles;Brussel;50.89462800189794, 4.358068962200158;"{""coordinates"": [[[4.3581852570968, 50.89456807582608], [4.358048604432461, 50.89461719139051], [4.358022699053965, 50.89465455200593], [4.357978667154478, 50.89472114837559]]], ""type"": ""MultiLineString""}";;;2024-10-21T02:00:00+02:00
879;ac.fid--5822db6_19cbcb82e55_-2bf7;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;1.64;Bruxelles;Brussel;50.90596751537469, 4.4132779551030845;"{""coordinates"": [[[4.413547474959288, 50.9064958066987], [4.41353237784456, 50.90645831237214], [4.413499925820981, 50.90637873928682], [4.413482824955676, 50.90633374988112], [4.413438265812228, 50.90624927054476], [4.413362856266765, 50.90610903062727], [4.413290324118112, 50.90597008797635], [4.413236326356354, 50.905870138167145], [4.413196092150443, 50.90580230178399], [4.413170672860781, 50.90576427443571], [4.413134805903246, 50.905711148773754], [4.413087645168162, 50.90563931311496], [4.413046898667616, 50.9055763283442], [4.41299396474989, 50.905495159162406], [4.413002138819322, 50.905465809602354], [4.413005121467108, 50.905453719976734]]], ""type"": ""MultiLineString""}";2013-01-01T01:00:00+01:00;;2024-10-14T02:00:00+02:00
733;ac.fid--5822db6_19cbcb82e55_-2bf6;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;1.72;Bruxelles;Brussel;50.80969620339816, 4.383401034195339;"{""coordinates"": [[[4.383464402295363, 50.809647260407345], [4.383431512561264, 50.809681763780354], [4.383386194088335, 50.80970613850478], [4.383350012692194, 50.80972733320422], [4.383337012525873, 50.809735089872945], [4.38333207624064, 50.80973818617887]]], ""type"": ""MultiLineString""}";2019-01-01T01:00:00+01:00;;2024-10-28T01:00:00+01:00
