ID;Type;Type;Type;Zone;Zone;Zone;Nombre de places (taille voiture);Longueur (m);Orientation;Oriëntatie;Orientation;Google Maps;Google Street View;Coordonnées géographiques
1076;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.874235515139496%2C4.34750694923882;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.874235515139496%2C4.34750694923882;50.874235515139496, 4.34750694923882
1174;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.874078412858225%2C4.351774024028474;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.874078412858225%2C4.351774024028474;50.874078412858225, 4.351774024028474
1309;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8956341200183%2C4.392552060921647;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8956341200183%2C4.392552060921647;50.8956341200183, 4.392552060921647
1494;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;8;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.82370157941337%2C4.365965270498434;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.82370157941337%2C4.365965270498434;50.82370157941337, 4.365965270498434
6135;PMR;PBM;PRM;Zone verte;Groene zone;Green area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89053012524482%2C4.34412083216009;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89053012524482%2C4.34412083216009;50.89053012524482, 4.34412083216009
9017;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87372655402205%2C4.358081565368454;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87372655402205%2C4.358081565368454;50.87372655402205, 4.358081565368454
12654;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.895193509923295%2C4.420363997678736;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.895193509923295%2C4.420363997678736;50.895193509923295, 4.420363997678736
12684;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89152358049901%2C4.387462252808515;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89152358049901%2C4.387462252808515;50.89152358049901, 4.387462252808515
15887;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85462025080063%2C4.347314022393163;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85462025080063%2C4.347314022393163;50.85462025080063, 4.347314022393163
16001;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87733510477895%2C4.351242730089521;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87733510477895%2C4.351242730089521;50.87733510477895, 4.351242730089521
16079;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87539779624705%2C4.359732040483564;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87539779624705%2C4.359732040483564;50.87539779624705, 4.359732040483564
19634;PMR;PBM;PRM;Zone verte;Groene zone;Green area;2;7;Perpendiculaire;Loodrecht;Perpendicular;https://www.google.com/maps/search/?api=1&query=50.8893966058135%2C4.374815476961464;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8893966058135%2C4.374815476961464;50.8893966058135, 4.374815476961464
19654;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8815807692411%2C4.347347616240026;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8815807692411%2C4.347347616240026;50.8815807692411, 4.347347616240026
19683;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87528524499684%2C4.359362789757006;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87528524499684%2C4.359362789757006;50.87528524499684, 4.359362789757006
19706;PMR;PBM;PRM;Zone verte;Groene zone;Green area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85906544948562%2C4.351387440493617;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85906544948562%2C4.351387440493617;50.85906544948562, 4.351387440493617
19825;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89781275164188%2C4.373250315206272;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89781275164188%2C4.373250315206272;50.89781275164188, 4.373250315206272
23138;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;7;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85333002330506%2C4.351607598310988;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85333002330506%2C4.351607598310988;50.85333002330506, 4.351607598310988
23328;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;3;En épi;Op de kolf;On the cob;https://www.google.com/maps/search/?api=1&query=50.8830253368242%2C4.343283189376931;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8830253368242%2C4.343283189376931;50.8830253368242, 4.343283189376931
23686;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.852153795799836%2C4.357383681786517;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.852153795799836%2C4.357383681786517;50.852153795799836, 4.357383681786517
23741;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.852248396626095%2C4.357743957206196;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.852248396626095%2C4.357743957206196;50.852248396626095, 4.357743957206196
26917;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89597533800519%2C4.379338572837848;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89597533800519%2C4.379338572837848;50.89597533800519, 4.379338572837848
27147;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85259616682785%2C4.354539995052121;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85259616682785%2C4.354539995052121;50.85259616682785, 4.354539995052121
30380;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.84717415815106%2C4.390055705871066;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84717415815106%2C4.390055705871066;50.84717415815106, 4.390055705871066
30435;PMR;PBM;PRM;Zone verte;Groene zone;Green area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87896480318192%2C4.34718203056096;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87896480318192%2C4.34718203056096;50.87896480318192, 4.34718203056096
32287;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.826625657895526%2C4.364962872748363;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.826625657895526%2C4.364962872748363;50.826625657895526, 4.364962872748363
33778;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.851760711187126%2C4.364876800118199;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.851760711187126%2C4.364876800118199;50.851760711187126, 4.364876800118199
34005;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87187900146197%2C4.34298002380724;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87187900146197%2C4.34298002380724;50.87187900146197, 4.34298002380724
34010;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87427928341672%2C4.349296683355655;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87427928341672%2C4.349296683355655;50.87427928341672, 4.349296683355655
35571;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89188614296486%2C4.3750238850178;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89188614296486%2C4.3750238850178;50.89188614296486, 4.3750238850178
38257;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8518106501366%2C4.340352348089945;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8518106501366%2C4.340352348089945;50.8518106501366, 4.340352348089945
38274;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85636214901424%2C4.348614317435491;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85636214901424%2C4.348614317435491;50.85636214901424, 4.348614317435491
38277;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8557149432702%2C4.349836804604935;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8557149432702%2C4.349836804604935;50.8557149432702, 4.349836804604935
38384;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87335844074627%2C4.339746811639479;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87335844074627%2C4.339746811639479;50.87335844074627, 4.339746811639479
38430;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.88332595539716%2C4.351375196641715;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88332595539716%2C4.351375196641715;50.88332595539716, 4.351375196641715
41783;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.857785363753976%2C4.34599715061514;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.857785363753976%2C4.34599715061514;50.857785363753976, 4.34599715061514
41935;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.877669073266624%2C4.357995115016239;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.877669073266624%2C4.357995115016239;50.877669073266624, 4.357995115016239
42333;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;3;18;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.84003719890959%2C4.347843652042743;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84003719890959%2C4.347843652042743;50.84003719890959, 4.347843652042743
46150;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.849287130062805%2C4.367014680687612;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.849287130062805%2C4.367014680687612;50.849287130062805, 4.367014680687612
46389;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89105382718587%2C4.380169082025385;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89105382718587%2C4.380169082025385;50.89105382718587, 4.380169082025385
49100;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.884761356571865%2C4.343329025872293;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.884761356571865%2C4.343329025872293;50.884761356571865, 4.343329025872293
52250;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.83522942037405%2C4.349271662814225;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83522942037405%2C4.349271662814225;50.83522942037405, 4.349271662814225
57211;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.835617983912385%2C4.349881467844004;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.835617983912385%2C4.349881467844004;50.835617983912385, 4.349881467844004
57249;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85564169339347%2C4.350801455315781;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85564169339347%2C4.350801455315781;50.85564169339347, 4.350801455315781
57418;PMR;PBM;PRM;Zone verte;Groene zone;Green area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.88966828217422%2C4.374670049315051;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88966828217422%2C4.374670049315051;50.88966828217422, 4.374670049315051
59380;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.899288852871464%2C4.32770314369497;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.899288852871464%2C4.32770314369497;50.899288852871464, 4.32770314369497
59411;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89804687845275%2C4.327194413294838;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89804687845275%2C4.327194413294838;50.89804687845275, 4.327194413294838
62951;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;5;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.848992098756085%2C4.383406193104875;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.848992098756085%2C4.383406193104875;50.848992098756085, 4.383406193104875
63211;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89213917386134%2C4.382163575891038;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89213917386134%2C4.382163575891038;50.89213917386134, 4.382163575891038
70053;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;11;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.853350891680186%2C4.351049640010662;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.853350891680186%2C4.351049640010662;50.853350891680186, 4.351049640010662
74056;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.84832905541063%2C4.36019208793744;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84832905541063%2C4.36019208793744;50.84832905541063, 4.36019208793744
74140;PMR;PBM;PRM;Zone verte;Groene zone;Green area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.864407071042535%2C4.358996442454172;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.864407071042535%2C4.358996442454172;50.864407071042535, 4.358996442454172
75470;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.83406534866885%2C4.344414031667824;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83406534866885%2C4.344414031667824;50.83406534866885, 4.344414031667824
75554;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.84396124826053%2C4.39320363647541;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84396124826053%2C4.39320363647541;50.84396124826053, 4.39320363647541
75579;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.872506696053826%2C4.348095735713013;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.872506696053826%2C4.348095735713013;50.872506696053826, 4.348095735713013
78072;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;5;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.877194098681514%2C4.353800982005066;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.877194098681514%2C4.353800982005066;50.877194098681514, 4.353800982005066
82088;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.83533961190621%2C4.350168911256917;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83533961190621%2C4.350168911256917;50.83533961190621, 4.350168911256917
82243;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87637984417575%2C4.348839018635149;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87637984417575%2C4.348839018635149;50.87637984417575, 4.348839018635149
86654;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.893051595363744%2C4.374726355329424;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.893051595363744%2C4.374726355329424;50.893051595363744, 4.374726355329424
86854;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;5;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.84566210056958%2C4.343091524352975;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84566210056958%2C4.343091524352975;50.84566210056958, 4.343091524352975
86929;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87811078362561%2C4.342016224735369;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87811078362561%2C4.342016224735369;50.87811078362561, 4.342016224735369
87002;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.88164640206722%2C4.342715611763027;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88164640206722%2C4.342715611763027;50.88164640206722, 4.342715611763027
87139;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89388142665287%2C4.391414653041225;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89388142665287%2C4.391414653041225;50.89388142665287, 4.391414653041225
89370;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89885842880175%2C4.363662192300038;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89885842880175%2C4.363662192300038;50.89885842880175, 4.363662192300038
92351;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.847977865049955%2C4.346367577966571;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.847977865049955%2C4.346367577966571;50.847977865049955, 4.346367577966571
95213;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8434028946224%2C4.348766842027392;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8434028946224%2C4.348766842027392;50.8434028946224, 4.348766842027392
95238;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;6;En épi;Op de kolf;On the cob;https://www.google.com/maps/search/?api=1&query=50.843056414385764%2C4.361184804865939;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.843056414385764%2C4.361184804865939;50.843056414385764, 4.361184804865939
98651;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8781208683145%2C4.354376866618257;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8781208683145%2C4.354376866618257;50.8781208683145, 4.354376866618257
98716;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87443622940659%2C4.360046716324801;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87443622940659%2C4.360046716324801;50.87443622940659, 4.360046716324801
99425;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.895289194652214%2C4.384077403955383;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.895289194652214%2C4.384077403955383;50.895289194652214, 4.384077403955383
101775;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.84599826524816%2C4.365877696706664;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84599826524816%2C4.365877696706664;50.84599826524816, 4.365877696706664
101938;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.871252580703405%2C4.345142537004893;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.871252580703405%2C4.345142537004893;50.871252580703405, 4.345142537004893
102293;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.83980476890098%2C4.351368170442166;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83980476890098%2C4.351368170442166;50.83980476890098, 4.351368170442166
117654;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85159004385677%2C4.367753960841204;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85159004385677%2C4.367753960841204;50.85159004385677, 4.367753960841204
