Domaine;Domein;Année;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
PE délivrés;MV afgeleverd;2022;62;Forage;Boring;3;0;3
PE délivrés;MV afgeleverd;2022;117;Poisson, magasins, conserves;Vis, viswinkel;3;2;1
PE délivrés;MV afgeleverd;2022;27;Chantier (Décontamination de l'amiante);Werven (Asbestsanering);2;0;2
PE délivrés;MV afgeleverd;2022;62;Forage, géothermie;Boring, geothermie;0;0;0
PE délivrés;MV afgeleverd;2022;62;Forage, puits, captage, réinjection;Grondwaterbemaling, boringen, oppompen, put;0;0;0
PE délivrés;MV afgeleverd;2022;106;Os, déchets d'origine animale (dépôts);Beenderen, afvalstoffen van dierlijke oorsprong  (opslagplaatsen);0;0;0
PE délivrés;MV afgeleverd;2022;149;Chaudière à vapeur industrielle;Industriële stoomketel;0;0;0
PE délivrés;MV afgeleverd;2021;51;Déchetteries;Stortplaatsen;0;0;0
PE délivrés;MV afgeleverd;2020;40;Combustion, chaudières, gaz, mazout, charbon, bois, vapeur, générateurs, thermoblocs, aerothermes, cogen, brûleurs;Verbranding, verwarmingsinstallaties, verwarmingsketels,  gas, mazout, stookolie, steenkool, hout, stoom, generatoren, thermoblok, aerothermen, heteluchtverwarmers, WKK, cogeneratie;77;27;50
PE délivrés;MV afgeleverd;2020;88;Liquides inflammables (dépôts);Ontvlambare vloeistoffen (opslagplaatsen);25;2;23
PE délivrés;MV afgeleverd;2020;121;Produits dangereux, biocides;Gevaarlijke producten, biociden;11;3;8
PE délivrés;MV afgeleverd;2020;85;Laboratoires;Laboratoria;8;0;8
PE délivrés;MV afgeleverd;2020;70;Gaz;Gas;2;0;2
PE délivrés;MV afgeleverd;2020;143;Textile, tissus, vêtements,;Textiel, stoffen, kleren;0;0;0
PE délivrés;MV afgeleverd;2019;74;Gaz (récipients mobiles);Gas (verplaatsbare recipiënten);13;2;11
PE délivrés;MV afgeleverd;2019;41;Compostage/ Biométhanisation;Composteren/ Biomethaniseren;1;0;1
PE délivrés;MV afgeleverd;2019;19;Bois;Hout;0;0;0
PE délivrés;MV afgeleverd;2019;29;Chantiers;Werven;0;0;0
PE délivrés;MV afgeleverd;2019;45;Déchets dangereux liquides;Gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2019;47;Déchets non dangereux;Niet gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2018;121;Produits dangereux (dépôts);Gevaarlijke producten (opslagplaatsen);36;2;34
PE délivrés;MV afgeleverd;2018;28;Chantiers (construction);Werven (bouw);2;2;0
PE délivrés;MV afgeleverd;2018;108;Papier (dépôts);Papier (opslagplaat-sen);2;0;2
PE délivrés;MV afgeleverd;2018;69;Gaz (butane-propane);Gas (butaan-propaan);1;0;1
PE délivrés;MV afgeleverd;2018;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;0;0;0
PE délivrés;MV afgeleverd;2018;122;Fruits, légumes, grossistes;Groenten, fruit, groothandels;0;0;0
PE délivrés;MV afgeleverd;2018;138;Cabine de peinture, carosserie, pistolet HVLP, vernis;Spuitcabine, verfcabine, carrosserie, HVLP, vernis;0;0;0
PE délivrés;MV afgeleverd;2018;178;Économie circulaire, valorisation, réutilisation;Circulaire economie, valorisatie, hergebruik;0;0;0
PE délivrés;MV afgeleverd;2017;132;Réfrigération (installation de);Koeling (inrichtingen);130;33;97
PE délivrés;MV afgeleverd;2017;45;Déchets dangereux liquides;Gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2017;138;Cabine de peinture, carosserie, pistolet HVLP, vernis;Spuitcabine, verfcabine, carrosserie, HVLP, vernis;0;0;0
PE délivrés;MV afgeleverd;2017;147;Café;Koffiebranderij;0;0;0
PE délivrés;MV afgeleverd;2019;114;Photo (développement);Foto (ontwikkeling);0;0;0
PE délivrés;MV afgeleverd;2019;125;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;0;0;0
PE délivrés;MV afgeleverd;2019;151;Stationnement (véhicules);Parkeren (voertuigen);0;0;0
PE délivrés;MV afgeleverd;2019;224;Garages, parkings;Garages, parkings;0;0;0
PE délivrés;MV afgeleverd;2018;162;Antennes;Antennes;111;0;111
PE délivrés;MV afgeleverd;2018;122;Produits d'origine végétale (dépôts de);Producten van plantaardige oorsprong (opslagplaat);8;4;4
PE délivrés;MV afgeleverd;2018;12;Automobiles, carwash, car-wash, voitures, véhicules;Automobielen, carwash, voertuigen;0;0;0
PE délivrés;MV afgeleverd;2017;28;Chantiers (construction);Werven (bouw);21;21;0
PE délivrés;MV afgeleverd;2016;117;Poisson, magasins, conserves;Vis, viswinkel;3;2;1
PE délivrés;MV afgeleverd;2016;45;Déchets dangereux;Gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2016;72;Gaz;Gas;0;0;0
PE délivrés;MV afgeleverd;2015;17;Bitume (dépôts);Bitumen (opslagplaat-sen);2;1;1
PE délivrés;MV afgeleverd;2015;46;Déchets dangereux  (traitement);Gevaarlijke afvalstoffen (opslag);1;0;1
PE délivrés;MV afgeleverd;2015;27;Amiante;Asbest;0;0;0
PE délivrés;MV afgeleverd;2015;74;Bouteilles, bonbonnes, réservoirs;Gasflessen, spuitbus, tanks;0;0;0
PE délivrés;MV afgeleverd;2015;114;Photo, laboratoire, développement;Foto, labo, ontwikkeling;0;0;0
PE délivrés;MV afgeleverd;2024;62;Forage, puits, captage, réinjection;Grondwaterbemaling, boringen, oppompen, put;4;0;4
PE délivrés;MV afgeleverd;2024;54;Dérivés alimentaires;Voedingsderivaten;2;0;2
PE délivrés;MV afgeleverd;2023;112;Produits phytopharmaceutiques (dépôt);Bestrijdingsmid-delen (opslagplaatsen);1;0;1
PE délivrés;MV afgeleverd;2022;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;49;6;43
PE délivrés;MV afgeleverd;2022;85;Laboratoires;Laboratoria;11;0;11
PE délivrés;MV afgeleverd;2022;46;Déchets dangereux  (traitement);Gevaarlijke afvalstoffen (opslag);1;0;1
PE délivrés;MV afgeleverd;2020;96;Matières végétales ou animales;Plantaardige of dierlijke stoffen;0;0;0
PE délivrés;MV afgeleverd;2019;224;Garages, parkings;Garages, parkings;5;0;5
PE délivrés;MV afgeleverd;2019;147;Café;Koffiebranderij;3;2;1
PE délivrés;MV afgeleverd;2019;14;Piscines, thermes, jacuzzi;Zwembaden, thermen, jacuzzi;2;1;1
PE délivrés;MV afgeleverd;2019;45;Déchets dangereux;Gevaarlijke afvalstoffen;1;0;1
PE délivrés;MV afgeleverd;2019;150;Véhicules neufs (dépôts);Nieuwe voertuigen (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2019;106;Abats, anciennes denrées alimentaires, peaux, fourrure, laine;Slachtafval, voormalige voedingsmiddelen, huiden, pelzen, wol;0;0;0
PE délivrés;MV afgeleverd;2019;106;Déchets de cuisine et de table, huiles et graisses de friture usagées, abats, anciennes denrées alimentaires, peaux, fourrure, laine, cadavres;Keukenafval en etensresten, gebruikte frituurolie en -vetten, slachtafval, voormalige voedingsmiddelen, huiden, pelzen, wol, kadavers;0;0;0
PE délivrés;MV afgeleverd;2018;55;Electricité;Elektriciteit;36;5;31
PE délivrés;MV afgeleverd;2018;62;Forage;Boring;6;0;6
PE délivrés;MV afgeleverd;2018;119;Traiteurs;Traiteurs;2;1;1
PE délivrés;MV afgeleverd;2018;57;Epices;Kruiden;1;1;0
PE délivrés;MV afgeleverd;2018;41;Compostage/ Biométhanisation;Composteren/ Biomethaniseren;0;0;0
PE délivrés;MV afgeleverd;2018;53;Dépôts général;Algemene opslagplaats;0;0;0
PE délivrés;MV afgeleverd;2017;47;Déchets inertes (dépôts);Inerte afvalstoffen (opslagplaat-sen);11;1;10
PE délivrés;MV afgeleverd;2017;44;Déchets (Centres de tri);Afvalstoffen (Sorteercentra);6;1;5
PE délivrés;MV afgeleverd;2017;87;Conserveries, boites;Conserven, conservering, blik;1;0;1
PE délivrés;MV afgeleverd;2017;12;Automobiles, carwash, car-wash, voitures, véhicules;Automobielen, carwash, voertuigen;0;0;0
PE délivrés;MV afgeleverd;2017;73;Digesteur, réacteur, fermentation;Vergister, bioreactor, fermentatie;0;0;0
PE délivrés;MV afgeleverd;2017;88;Combustibles, diesel, mazout,;Brandstoffen, mazout, diesel;0;0;0
PE délivrés;MV afgeleverd;2016;29;Chantiers;Werven;4;0;4
PE délivrés;MV afgeleverd;2016;62;Forage;Boring;3;0;3
PE délivrés;MV afgeleverd;2016;17;Bitume (dépôts);Bitumen (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2016;13;Automobiles, réparations, voitures, véhicules, carrosseries, garages;Automobielen, herstellingen, reparaties, voertuigen, carrosserie, garage;0;0;0
PE délivrés;MV afgeleverd;2016;49;Déchets non dangereux;Niet gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2015;21;Soda, alcool, bières, vins, jus;Dranken, bierbrouwerijen, frisdranken, alcohol, bieren, wijnen;0;0;0
PE délivrés;MV afgeleverd;2015;33;Citernes (nettoyage);Tanken (schoonmaak);0;0;0
PE délivrés;MV afgeleverd;2015;126;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;0;0;0
PE délivrés;MV afgeleverd;2014;149;Vapeur (appareils à vapeur);Stoom (stoom-toestellen);14;4;10
PE délivrés;MV afgeleverd;2014;28;Chantiers;Werven;0;0;0
PE délivrés;MV afgeleverd;2014;51;Déchets;Afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2014;72;Gaz;Gas;0;0;0
PE délivrés;MV afgeleverd;2014;74;Bouteilles, bonbonnes, réservoirs;Gasflessen, spuitbus, tanks;0;0;0
PE délivrés;MV afgeleverd;2014;162;GSM;GSM;0;0;0
PE délivrés;MV afgeleverd;2024;40;Combustion (installations de);Verbranding (inrichtingen);22;0;22
PE délivrés;MV afgeleverd;2024;22;Boues ( dépôts);Slib (opslag);1;0;1
PE délivrés;MV afgeleverd;2024;72;Gaz;Gas;10;0;10
PE délivrés;MV afgeleverd;2024;161;Véhicules hors d'usage, VHU;Afgedankte voertuigen;1;0;1
PE délivrés;MV afgeleverd;2024;122;Fruits, légumes, grossistes;Groenten, fruit, groothandels;3;1;2
PE délivrés;MV afgeleverd;2023;101;Métaux, tours;Metaaldraaibank;8;2;6
PE délivrés;MV afgeleverd;2024;66;Crottin;Mest;1;0;1
PE délivrés;MV afgeleverd;2023;28;Chantiers (construction);Werven (bouw);3;3;0
PE délivrés;MV afgeleverd;2023;59;Feu d'artifices, airbags;Vuurwerken, airbags;2;0;2
PE délivrés;MV afgeleverd;2023;18;Bois (travail);Hout (bewerking);2;0;2
PE délivrés;MV afgeleverd;2023;27;Chantier (Décontamination de l'amiante);Werven (Asbestsanering);1;0;1
PE délivrés;MV afgeleverd;2023;48;Compacteur, broyeur;Pers, breker, vermaler;2;0;2
PE délivrés;MV afgeleverd;2023;138;Cabine de peinture, carosserie, vernis;Spuitcabine, verfcabine, carrosserie, vernis;1;1;0
PE délivrés;MV afgeleverd;2023;151;Véhicules usagés (dépôts);Tweedehandswagens (opslagplaatsen);1;1;0
PE délivrés;MV afgeleverd;2022;88;Liquides inflammables;Ontvlambare vloeistoffen;6;1;5
PE délivrés;MV afgeleverd;2022;88;Liquides inflammables (dépôts);Ontvlambare vloeistoffen (opslagplaatsen);12;2;10
PE délivrés;MV afgeleverd;2022;101;Métaux (travail des);Metalen (bewerking);3;0;3
PE délivrés;MV afgeleverd;2022;44;Déchets (Centres de tri);Afvalstoffen (Sorteercentra);1;0;1
PE délivrés;MV afgeleverd;2021;62;Permanent, puits;Permanente, waterput;3;0;3
PE délivrés;MV afgeleverd;2022;233;Véhicules (stationnement);Voertuigen (parkeren);0;0;0
PE délivrés;MV afgeleverd;2021;142;Textile, tissus, vêtements,;Textiel, stoffen, kleren;3;1;2
PE délivrés;MV afgeleverd;2021;135;Musique;Muziek;9;8;1
PE délivrés;MV afgeleverd;2015;140;Tabac (fabrication);Tabak (productie);0;0;0
PE délivrés;MV afgeleverd;2015;172;Loisirs;Recreatie;0;0;0
PE délivrés;MV afgeleverd;2018;66;Fumier;Mest;2;1;1
PE délivrés;MV afgeleverd;2014;28;Chantiers (construction);Werven (bouw);49;48;1
PE délivrés;MV afgeleverd;2018;13;Automobiles, réparations, voitures, véhicules, carrosseries, garages;Automobielen, herstellingen, reparaties, voertuigen, carrosserie, garage;0;0;0
PE délivrés;MV afgeleverd;2014;141;Tabac (dépôts);Tabak (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2018;98;Soudage, chalumeaux;Lassen, toortsen;0;0;0
PE délivrés;MV afgeleverd;2018;121;Produits dangereux, biocides;Gevaarlijke producten, biociden;0;0;0
PE délivrés;MV afgeleverd;2017;104;Moteurs;Motoren;60;7;53
PE délivrés;MV afgeleverd;2017;23;Boulangeries patisseries, patissier, alimentaire, pains, tartes;Bakkerijen, patisserie, voeding, taarten, brood;6;4;2
PE délivrés;MV afgeleverd;2017;93;Matières synthétiques (traitement);Kunststof (verwerking);2;0;2
PE délivrés;MV afgeleverd;2017;178;Économie circulaire, valorisation, réutilisation;Circulaire economie, valorisatie, hergebruik;0;0;0
PE délivrés;MV afgeleverd;2016;88;Liquides inflammables (dépôts);Ontvlambare vloeistoffen (opslagplaatsen);101;42;59
PE délivrés;MV afgeleverd;2016;124;Produits minéraux (dépôts fermés);Minerale producten (overdekte opslagplaatsen);5;0;5
PE délivrés;MV afgeleverd;2016;66;Fumier;Mest;3;0;3
PE délivrés;MV afgeleverd;2016;93;Matières synthétiques (traitement);Kunststof (verwerking);2;1;1
PE délivrés;MV afgeleverd;2016;33;Citernes (nettoyage);Tanken (schoonmaak);0;0;0
PE délivrés;MV afgeleverd;2016;45;Liquides, huiles usagées;Vloeistoffen, afvalolie;0;0;0
PE délivrés;MV afgeleverd;2016;47;Déchets non dangereux (dépôt);Niet gevaarlijke afvalstoffen (opslagplaats);0;0;0
PE délivrés;MV afgeleverd;2016;62;Forage, géothermie;Boring, geothermie;0;0;0
PE délivrés;MV afgeleverd;2016;70;Gaz;Gas;0;0;0
PE délivrés;MV afgeleverd;2016;71;Gaz;Gas;0;0;0
PE délivrés;MV afgeleverd;2016;98;Soudage, chalumeaux;Lassen, toortsen;0;0;0
PE délivrés;MV afgeleverd;2015;45;Déchets dangereux et non dangereux autres qu'inertes;Gevaarlijke en niet inerte afvalstoffen;25;0;25
PE délivrés;MV afgeleverd;2015;85;Laboratoires;Laboratoria;9;0;9
PE délivrés;MV afgeleverd;2015;19;Bois (dépôts);Hout (opslagplaat-sen);6;1;5
PE délivrés;MV afgeleverd;2015;98;Métaux (traitement thermique);Metalen (thermische bewerking);3;0;3
PE délivrés;MV afgeleverd;2015;40;Combustion, chaudières, gaz, mazout, charbon, bois, vapeur, générateurs, thermoblocs, aerothermes, cogen, brûleurs;Verbranding, verwarmingsinstallaties, verwarmingsketels,  gas, mazout, stookolie, steenkool, hout, stoom, generatoren, thermoblok, aerothermen, heteluchtverwarmers, WKK, cogeneratie;2;2;0
PE délivrés;MV afgeleverd;2015;104;Groupe, secours, électrogène, sprinklage;Noodgroepen, noodaggregaat, noodaggregaat, sprinkler;2;2;0
PE délivrés;MV afgeleverd;2015;132;Frigo, HVAC, Split, chiller, air conditionné, groupe de froid, PAC;Chiller, split, HVAC, airconditioning, koelgroepen;2;2;0
PE délivrés;MV afgeleverd;2015;148;Cabine haute tension, cabine électrique;Hoogspanningscabines;2;2;0
PE délivrés;MV afgeleverd;2015;43;Cuisson d’argile et de plâtre;Klei-, pleisterbakken;1;0;1
PE délivrés;MV afgeleverd;2015;75;Gélatine (dépôts);Gelatine (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2015;12;Automobiles, carwash, car-wash, voitures, véhicules;Automobielen, carwash, voertuigen;0;0;0
PE délivrés;MV afgeleverd;2015;151;Véhicules seconde main, showroom, garage;Showroom, tweedehandswagens, garage;0;0;0
PE délivrés;MV afgeleverd;2014;148;Transformateurs statiques;Statische transformatoren;176;87;89
PE délivrés;MV afgeleverd;2014;88;Liquides inflammables (dépôts);Ontvlambare vloeistoffen (opslagplaatsen);111;39;72
PE délivrés;MV afgeleverd;2014;117;Poisson, magasins, conserves;Vis, viswinkel;3;1;2
PE délivrés;MV afgeleverd;2015;48;Déchets non dangereux (traitement mécanique);Niet gevaarlijke afvalstoffen (mechanische verwerking);19;2;17
PE délivrés;MV afgeleverd;2015;53;Dépôts (général);Opslagplaatsen (algemeen);17;5;12
PE délivrés;MV afgeleverd;2015;135;Spectacles;Schouwspelen;18;5;13
PE délivrés;MV afgeleverd;2015;127;Produits  d'origine animale;Producten van dierlijke oorsprong;3;3;0
PE délivrés;MV afgeleverd;2015;15;Béton;Beton;1;0;1
PE délivrés;MV afgeleverd;2015;149;Vapeur (appareils à vapeur);Stoom (stoom-toestellen);11;0;11
PE délivrés;MV afgeleverd;2015;160;Aérodrome;Luchtvaartterrein;1;0;1
PE délivrés;MV afgeleverd;2015;64;Fours;Ovens;9;0;9
