Année;Domaine;Domein;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
2024;PU délivrés;SV afgeleverd;6.;Placer un ou des enseigne(s) et/ou publicité(s) associée(s) à l'enseigne (cfr chap. II et chap. III, section 4, sous-section 2 de l'arrêté);Plaatsen van  (aantal) uithangborden en/of reclame in verband met het merk (cf. hfdstk. II en hfdstk. III, afdeling 4, onderafdeling 2 van het besluit);22;17;5
2024;PU délivrés;SV afgeleverd;8.;Utiliser un terrain pour le dépôt, pour le stationnement de véhicules ou pour le placement d'installations mobiles pouvant être utilisées pour l'habitation (cfr chap. II et chap. III, section 6 de l'arrêté);"Een terrein gebruiken voor het stallen, voor het parkeren van voertuigen of voor de plaatsing van mobiele installaties die voor 
bewoning gebruikt kunnen worden (cf. hfdstk. II en hfdstk. III, afdeling 6 van het besluit)";2;0;2
2024;PE introduits;MV ingediend;121;Produits dangereux, biocides;Gevaarlijke producten, biociden;12;2;10
2024;PE introduits;MV ingediend;23;Boulangeries patisseries, patissier, alimentaire, pains, tartes;Bakkerijen, patisserie, voeding, taarten, brood;4;4;0
2024;PE introduits;MV ingediend;132;Tours de refroidissement;Koeltorens;3;0;3
2024;PE introduits;MV ingediend;59;Feu d'artifices, airbags;Vuurwerken, airbags;1;0;1
2024;PE délivrés;MV afgeleverd;152;Véhicules (Stationnement);Voertuigen (parkeren);10;0;10
2024;PE délivrés;MV afgeleverd;28;Polystyrène;Polystyreen;3;3;0
2024;PE délivrés;MV afgeleverd;122;Fruits, légumes, grossistes;Groenten, fruit, groothandels;3;1;2
2024;PE délivrés;MV afgeleverd;80;Huiles résiduaires (dépôts);Afvaloliën  (opslagplaatsen);2;0;2
2023;PE introduits;MV ingediend;104;Groupe, secours, électrogène, sprinklage;Noodgroepen, noodaggregaat, noodaggregaat, sprinkler;32;14;18
2023;PE introduits;MV ingediend;47;Déchets non dangereux;Niet gevaarlijke afvalstoffen;5;1;4
2023;PE introduits;MV ingediend;62;Forage;Boring;2;0;2
2023;PE introduits;MV ingediend;152;Véhicules (Stationnement);Voertuigen (parkeren);0;0;0
2023;PE introduits;MV ingediend;154;Vernis (dépôts);Vernis (opslagplaat-sen);0;0;0
2023;PE délivrés;MV afgeleverd;153;Groupe, GP, GE, HVAC;Luchtgroepen, GE, GP, HVAC;47;2;45
